model_setting,accuracy,auc,precision,recall
RLL_l1_128_l2_32_lr_0.05_penalty_10.0_bs_256,0.848314606741573,0.905603448275862,0.8907563025210085,0.8833333333333333
RLL_l1_512_l2_32_lr_0.05_penalty_1.0_bs_512,0.848314606741573,0.9047413793103448,0.8780487804878049,0.9
RLL_l1_256_l2_32_lr_0.05_penalty_0.1_bs_1024,0.848314606741573,0.9044540229885057,0.8974358974358975,0.875
RLL_l1_1024_l2_32_lr_0.05_penalty_5.0_bs_1024,0.848314606741573,0.9031609195402298,0.8842975206611571,0.8916666666666667
RLL_l1_128_l2_64_lr_0.05_penalty_5.0_bs_1024,0.848314606741573,0.902873563218391,0.8907563025210085,0.8833333333333333
RLL_l1_1024_l2_32_lr_0.05_penalty_0.1_bs_1024,0.848314606741573,0.9025862068965517,0.8907563025210085,0.8833333333333333
RLL_l1_1024_l2_32_lr_0.05_penalty_1.0_bs_1024,0.848314606741573,0.9024425287356321,0.8907563025210085,0.8833333333333333
RLL_l1_256_l2_64_lr_0.05_penalty_0.1_bs_256,0.848314606741573,0.9020114942528736,0.8974358974358975,0.875
RLL_l1_512_l2_32_lr_0.05_penalty_10.0_bs_1024,0.848314606741573,0.9011494252873563,0.8907563025210085,0.8833333333333333
RLL_l1_256_l2_256_lr_0.05_penalty_10.0_bs_128,0.848314606741573,0.9010057471264369,0.8842975206611571,0.8916666666666667
RLL_l1_256_l2_256_lr_0.05_penalty_5.0_bs_256,0.8426966292134831,0.9129310344827587,0.8770491803278688,0.8916666666666667
RLL_l1_1024_l2_64_lr_0.05_penalty_5.0_bs_128,0.8426966292134831,0.9123563218390803,0.8833333333333333,0.8833333333333333
RLL_l1_256_l2_64_lr_0.05_penalty_5.0_bs_128,0.8426966292134831,0.9122126436781609,0.8770491803278688,0.8916666666666667
RLL_l1_256_l2_64_lr_0.05_penalty_10.0_bs_256,0.8426966292134831,0.9110632183908046,0.8770491803278688,0.8916666666666667
RLL_l1_256_l2_256_lr_0.05_penalty_5.0_bs_1024,0.8426966292134831,0.9109195402298852,0.8770491803278688,0.8916666666666667
RLL_l1_256_l2_128_lr_0.05_penalty_10.0_bs_512,0.8426966292134831,0.9106321839080461,0.8770491803278688,0.8916666666666667
RLL_l1_512_l2_64_lr_0.05_penalty_1.0_bs_128,0.8426966292134831,0.9104885057471265,0.8770491803278688,0.8916666666666667
RLL_l1_512_l2_256_lr_0.05_penalty_0.1_bs_512,0.8426966292134831,0.9100574712643679,0.8709677419354839,0.9
RLL_l1_512_l2_128_lr_0.05_penalty_0.1_bs_1024,0.8426966292134831,0.9097701149425287,0.8898305084745762,0.875
RLL_l1_128_l2_128_lr_0.05_penalty_10.0_bs_1024,0.8426966292134831,0.9094827586206897,0.8833333333333333,0.8833333333333333
RLL_l1_128_l2_128_lr_0.05_penalty_5.0_bs_256,0.8426966292134831,0.9094827586206896,0.8770491803278688,0.8916666666666667
RLL_l1_128_l2_128_lr_0.05_penalty_5.0_bs_512,0.8426966292134831,0.909051724137931,0.8770491803278688,0.8916666666666667
RLL_l1_256_l2_128_lr_0.05_penalty_5.0_bs_1024,0.8426966292134831,0.9083333333333333,0.8770491803278688,0.8916666666666667
RLL_l1_512_l2_256_lr_0.05_penalty_1.0_bs_1024,0.8426966292134831,0.9080459770114944,0.8709677419354839,0.9
RLL_l1_512_l2_64_lr_0.05_penalty_1.0_bs_256,0.8426966292134831,0.9080459770114943,0.8709677419354839,0.9
RLL_l1_128_l2_32_lr_0.05_penalty_1.0_bs_256,0.8426966292134831,0.9074712643678161,0.8898305084745762,0.875
RLL_l1_1024_l2_64_lr_0.05_penalty_1.0_bs_1024,0.8426966292134831,0.907471264367816,0.8770491803278688,0.8916666666666667
